,id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawler,crawled_at,neighborhood
0,2558558970,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-campinas-com-garagem-49m2-aluguel-RS950-id-2558558970/,"Apartamento com Quarto para Aluguel, 49m²","Rua Itu, 86 - Centro, Campinas - SP",49,1,2,1,Portão eletrônico,950,583,Campinas,2022-05-11 22:33, Centro
1,2541694419,https://www.vivareal.com.br/imovel/apartamento-3-quartos-loteamento-center-santa-genebra-bairros-campinas-com-garagem-76m2-aluguel-RS490000-id-2541694419/,"Apartamento com 3 Quartos para Aluguel, 76m²","Avenida João Scarparo Netto, 240 - Loteamento Center Santa Genebra, Campinas - SP",76,3,2,2,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Aceita animais
...",490000,472,Campinas,2022-05-11 22:33, Loteamento Center Santa Genebra
2,2559659498,https://www.vivareal.com.br/imovel/apartamento-2-quartos-mansoes-santo-antonio-bairros-campinas-com-garagem-75m2-venda-RS480000-id-2559659498/,Apartamento com 2 Quartos para Venda/Aluguel 75m²,"Rua Hermantino Coelho, 161 - Mansões Santo Antônio, Campinas - SP",75,2,2,1,Varanda,2600,600,Campinas,2022-05-11 22:33, Mansões Santo Antônio
3,2561701454,https://www.vivareal.com.br/imovel/apartamento-3-quartos-swiss-park-bairros-campinas-com-garagem-103m2-aluguel-RS3500-id-2561701454/,"Apartamento com 3 Quartos para Aluguel, 103m²","Avenida Wellman Galvão de França Rangel, 798 - Swiss Park, Campinas - SP",103,3,3,2,"Piscina
Churrasqueira
Elevador
Academia
Playground
...",3500,1000,Campinas,2022-05-11 22:33, Swiss Park
4,2561568233,https://www.vivareal.com.br/imovel/apartamento-2-quartos-jardim-proenca-bairros-campinas-com-garagem-72m2-aluguel-RS750-id-2561568233/,"Apartamento com 2 Quartos para Aluguel, 72m²","Rua Serra dos Itatins - Jardim Proença, Campinas - SP",72,2,1,1,"Cozinha
Elevador
Interfone
Lavanderia",750,650,Campinas,2022-05-11 22:33, Jardim Proença
5,2561186570,https://www.vivareal.com.br/imovel/apartamento-2-quartos-mansoes-santo-antonio-bairros-campinas-com-garagem-70m2-aluguel-RS3074-id-2561186570/,"Apartamento com 2 Quartos para Aluguel, 70m²","Mansões Santo Antônio, Campinas - SP",70,2,2,2,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Área de serviço
...",3074,695,Campinas,2022-05-11 22:33, SP
6,2547080594,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cambui-bairros-campinas-com-garagem-180m2-aluguel-RS2000-id-2547080594/,"Apartamento com 3 Quartos para Aluguel, 180m²","Avenida Júlio de Mesquita, 1054 - Cambuí, Campinas - SP",180,3,3,1,nan,2000,2000,Campinas,2022-05-11 22:33, Cambuí
7,2559283114,https://www.vivareal.com.br/imovel/apartamento-3-quartos-chacara-da-barra-bairros-campinas-com-garagem-100m2-venda-RS520000-id-2559283114/,Apartamento com 3 Quartos para Venda/Aluguel 100m²,"Rua Maria da Encarnação Duarte, 128 - Chácara da Barra, Campinas - SP",100,3,3,2,"Closet
Varanda
Elevador",2300,780,Campinas,2022-05-11 22:33, Chácara da Barra
8,2559279348,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cambui-bairros-campinas-com-garagem-102m2-venda-RS890000-id-2559279348/,Apartamento com 3 Quartos para Venda/Aluguel 102m²,"Rua Antônio Lapa, 1043 - Cambuí, Campinas - SP",102,3,4,3,"Piscina
Varanda
Academia
Playground
Lavanderia
...",3200,1191,Campinas,2022-05-11 22:33, Cambuí
9,2560068453,https://www.vivareal.com.br/imovel/apartamento-2-quartos-swift-bairros-campinas-com-garagem-60m2-venda-RS450000-id-2560068453/,Apartamento com 2 Quartos à Venda/Aluguel 60m²,"Rua Martinho Calsavara - Swift, Campinas - SP",60,2,2,1,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",2050,422,Campinas,2022-05-11 22:33, Swift
